BlockCode,MaxAdDown,MaxAdUp
090010101023002,101.0,35.0
090010101023003,101.0,35.0
090010101023004,101.0,35.0
090010101023005,101.0,35.0
090010101023006,101.0,35.0
090010101023007,101.0,35.0
090010101023008,101.0,35.0
090010101023009,101.0,35.0
090010101023010,101.0,35.0
090010101023011,101.0,35.0
090010101023012,101.0,35.0
090010101023013,101.0,35.0
090010101023014,101.0,35.0
090010101023015,101.0,35.0
090010101023016,101.0,35.0
090010101023017,101.0,35.0
090010101023018,101.0,35.0
090010101023019,101.0,35.0
090010101023020,101.0,35.0
090010101023021,101.0,35.0
090010101023022,101.0,35.0
090010101023023,101.0,35.0
090010101023024,101.0,35.0
090010101023025,101.0,35.0
090010101023026,101.0,35.0
090010101023027,101.0,35.0
090010101023028,101.0,35.0
090010101023029,101.0,35.0
090010101023030,101.0,35.0
090010101023031,101.0,35.0
090010101023032,101.0,35.0
090010101023033,101.0,35.0
090010101023034,101.0,35.0
090010101023035,101.0,35.0
090010101023036,101.0,35.0
090010101023037,101.0,35.0
090010101023038,101.0,35.0
090010101023039,101.0,35.0
090010101023040,101.0,35.0
090010101023041,101.0,35.0
090010101023042,101.0,35.0
090010101023043,101.0,35.0
090010101023044,101.0,35.0
090010101023045,101.0,35.0
090010101023046,101.0,35.0
090010101023047,101.0,35.0
090010101023048,101.0,35.0
090010101023049,101.0,35.0
090010101023050,101.0,35.0
090010101023051,101.0,35.0
090010101023052,101.0,35.0
090010101023053,101.0,35.0
090010101023054,101.0,35.0
090010101023055,101.0,35.0
090010101023056,101.0,35.0
090010101023057,101.0,35.0
090010101023058,101.0,35.0
090010101023059,101.0,100.0
090010101023060,101.0,35.0
090010101023061,101.0,100.0
090010101023062,101.0,35.0
090010101023063,101.0,35.0
090010101023064,101.0,35.0
090010101023065,101.0,35.0
090010101023066,101.0,35.0
090010101023067,101.0,35.0
090010101023068,101.0,100.0
090010101023069,101.0,35.0
090010101023070,101.0,35.0
090010101023071,101.0,35.0
090010101023072,101.0,35.0
090010101023073,101.0,35.0
090010102011000,101.0,35.0
090010102011001,101.0,35.0
090010102011002,101.0,35.0
090010102011003,101.0,35.0
090010102011004,101.0,35.0
090010102011005,101.0,100.0
090010102011006,101.0,35.0
090010102011007,101.0,35.0
090010102011008,101.0,35.0
090010102011009,101.0,35.0
090010102011010,101.0,35.0
