GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Under 18 years:,Margin of Error; Under 18 years:,Estimate; Under 18 years: - Has a computer:,Margin of Error; Under 18 years: - Has a computer:,Estimate; Under 18 years: - Has a computer: - With dial-up Internet subscription alone,Margin of Error; Under 18 years: - Has a computer: - With dial-up Internet subscription alone,Estimate; Under 18 years: - Has a computer: - With a broadband Internet subscription,Margin of Error; Under 18 years: - Has a computer: - With a broadband Internet subscription,Estimate; Under 18 years: - Has a computer: - Without an Internet subscription,Margin of Error; Under 18 years: - Has a computer: - Without an Internet subscription,Estimate; Under 18 years: - No computer,Margin of Error; Under 18 years: - No computer,Estimate; 18 to 64 years:,Margin of Error; 18 to 64 years:,Estimate; 18 to 64 years: - Has a computer:,Margin of Error; 18 to 64 years: - Has a computer:,Estimate; 18 to 64 years: - Has a computer: - With dial-up Internet subscription alone,Margin of Error; 18 to 64 years: - Has a computer: - With dial-up Internet subscription alone,Estimate; 18 to 64 years: - Has a computer: - With a broadband Internet subscription,Margin of Error; 18 to 64 years: - Has a computer: - With a broadband Internet subscription,Estimate; 18 to 64 years: - Has a computer: - Without an Internet subscription,Margin of Error; 18 to 64 years: - Has a computer: - Without an Internet subscription,Estimate; 18 to 64 years: - No computer,Margin of Error; 18 to 64 years: - No computer,Estimate; 65 years and over:,Margin of Error; 65 years and over:,Estimate; 65 years and over: - Has a computer:,Margin of Error; 65 years and over: - Has a computer:,Estimate; 65 years and over: - Has a computer: - With dial-up Internet subscription alone,Margin of Error; 65 years and over: - Has a computer: - With dial-up Internet subscription alone,Estimate; 65 years and over: - Has a computer: - With a broadband Internet subscription,Margin of Error; 65 years and over: - Has a computer: - With a broadband Internet subscription,Estimate; 65 years and over: - Has a computer: - Without an Internet subscription,Margin of Error; 65 years and over: - Has a computer: - Without an Internet subscription,Estimate; 65 years and over: - No computer,Margin of Error; 65 years and over: - No computer
0600000US0900108070,0900108070,"Bridgeport town, Fairfield County, Connecticut",142581,1080,37433,2335,34236,2398,0,201,30000,2570,4236,1709,3197,1210,91355,2335,82545,2726,165,266,73226,3569,9154,2452,8810,1989,13793,2031,8329,1484,55,90,6788,1417,1486,705,5464,1236
0600000US0900118500,0900118500,"Danbury town, Fairfield County, Connecticut",80044,1014,17444,2223,16666,2202,76,124,15616,2281,974,995,778,757,51957,2343,49485,2638,331,338,46183,2911,2971,1512,2472,1173,10643,1792,7299,1539,242,254,6915,1514,142,165,3344,1356
0600000US0900156060,0900156060,"Norwalk town, Fairfield County, Connecticut",86956,503,19021,2281,18425,2264,0,201,17517,2145,908,1129,596,728,57847,2120,54276,2555,243,406,51622,2851,2411,1375,3571,1992,10088,1359,7987,1331,92,155,7762,1285,133,138,2101,614
0600000US0900173070,0900173070,"Stamford town, Fairfield County, Connecticut",125208,562,23748,2601,23370,2623,0,201,22094,2547,1276,854,378,401,84436,2611,78287,3134,0,201,73415,3799,4872,2227,6149,2327,17024,2020,13212,2071,0,201,11638,1972,1574,677,3812,963
0600000US0900337070,0900337070,"Hartford town, Hartford County, Connecticut",116786,1370,32248,2084,26314,2819,0,201,19441,2866,6873,2024,5934,1996,71461,2459,57293,2754,324,454,42752,3997,14217,3233,14168,2515,13077,1478,6283,1123,88,149,4761,1029,1434,580,6794,1309
0600000US0900350440,0900350440,"New Britain town, Hartford County, Connecticut",69704,1032,17711,2138,17197,2249,469,569,13581,2557,3147,1454,514,447,42637,2141,38055,1959,883,526,32969,2293,4203,1245,4582,1268,9356,1681,3374,891,171,196,2785,805,418,269,5982,1503
0600000US0900952070,0900952070,"New Haven town, New Haven County, Connecticut",120674,1553,28071,2471,23374,2961,0,201,18150,2846,5224,2321,4697,1630,78241,2485,62164,3266,173,152,52241,3935,9750,2583,16077,2883,14362,1741,7061,1211,124,204,5317,1214,1620,639,7301,1361
0600000US0900980070,0900980070,"Waterbury town, New Haven County, Connecticut",107675,595,28025,2774,24651,2563,0,201,22395,2826,2256,969,3374,1847,66489,2524,55403,3038,0,201,48586,3250,6817,2047,11086,2606,13161,1678,6724,1167,204,239,5777,1133,743,492,6437,1331
